aX,aY,aZ,gX,gY,gZ
0.662,-0.147,-0.742,-32.166,101.624,-30.151
0.654,-0.207,-0.817,-39.001,97.656,-31.067
0.662,-0.263,-0.814,-46.326,93.140,-31.128
0.676,-0.301,-0.841,-52.856,89.355,-29.297
0.695,-0.328,-0.841,-59.326,86.914,-26.733
0.703,-0.369,-0.866,-62.500,84.900,-23.560
0.708,-0.359,-0.935,-60.242,84.717,-19.470
0.703,-0.371,-1.005,-52.429,83.679,-16.174
0.713,-0.368,-1.067,-40.039,82.153,-12.756
0.715,-0.349,-1.153,-25.818,80.505,-8.850
0.728,-0.283,-1.144,-11.108,77.148,-5.249
0.729,-0.258,-1.207,6.714,75.928,-4.578
0.742,-0.279,-1.254,26.001,75.562,-6.165
0.728,-0.340,-1.303,42.786,72.998,-7.080
0.738,-0.342,-1.326,52.795,69.336,-4.639
0.738,-0.323,-1.354,55.359,63.843,-1.343
0.733,-0.296,-1.378,49.683,57.251,3.113
0.723,-0.219,-1.387,38.757,48.523,7.935
0.719,-0.119,-1.377,25.208,38.635,11.475
0.717,-0.056,-1.352,10.925,26.733,11.658
0.731,-0.011,-1.177,-1.709,12.878,10.132
0.745,0.014,-1.014,-11.230,2.502,7.690
0.753,0.022,-0.885,-16.785,-2.380,4.883
