aX,aY,aZ,gX,gY,gZ
0.949,-0.197,0.530,-16.174,12.512,5.066
0.959,-0.156,0.536,-17.334,15.137,6.897
0.962,-0.149,0.569,-17.334,17.151,6.653
0.969,-0.134,0.621,-16.479,19.043,6.104
0.972,-0.153,0.616,-15.686,22.339,5.188
0.972,-0.167,0.629,-15.686,24.841,5.127
0.973,-0.171,0.630,-16.968,26.794,6.104
0.967,-0.195,0.608,-19.714,28.748,7.263
0.962,-0.220,0.602,-23.254,29.358,9.338
0.960,-0.269,0.629,-26.733,29.358,12.207
0.955,-0.277,0.613,-30.701,29.968,16.907
0.955,-0.267,0.641,-33.997,29.785,22.156
0.942,-0.265,0.733,-37.109,28.442,27.344
0.942,-0.240,0.760,-41.382,30.762,31.799
0.935,-0.151,0.808,-44.312,33.447,36.438
0.943,-0.099,0.844,-46.143,37.170,37.537
0.934,-0.041,0.839,-48.401,43.091,36.987
0.934,-0.001,0.795,-50.842,49.805,34.912
0.916,0.017,0.695,-53.406,56.213,31.250
0.881,-0.031,0.558,-54.382,59.998,26.306
0.855,-0.150,0.519,-54.260,58.228,22.522
0.832,-0.251,0.461,-57.068,54.810,22.888
0.795,-0.298,0.409,-61.279,49.683,28.076
0.781,-0.307,0.474,-65.308,41.931,34.607
0.794,-0.217,0.566,-69.153,36.194,42.236
0.823,-0.080,0.651,-74.768,35.156,48.096
0.851,0.050,0.680,-79.285,39.307,49.133
0.880,0.198,0.667,-78.125,47.119,45.410
0.891,0.301,0.606,-71.472,56.580,36.560
0.886,0.292,0.484,-61.768,65.308,23.499
0.852,0.196,0.359,-53.772,70.190,10.071
0.820,0.062,0.317,-49.194,68.970,0.671
0.804,-0.093,0.309,-49.561,65.796,-3.418
0.808,-0.240,0.290,-56.274,62.256,-2.197
0.826,-0.229,0.299,-64.575,58.228,5.127
0.856,-0.163,0.235,-74.036,56.458,13.977
0.887,-0.103,0.236,-83.984,53.467,20.081
0.891,0.018,0.173,-91.553,51.453,24.231
0.878,0.173,0.148,-92.712,49.255,24.963
0.886,0.188,0.200,-88.440,44.922,17.700
0.861,0.148,0.334,-79.834,42.725,9.155
0.849,0.073,0.417,-71.289,45.959,2.197
0.831,0.059,0.425,-62.866,53.650,-1.648
0.835,0.009,0.353,-55.786,62.805,-4.944
0.819,0.012,0.203,-56.274,70.251,-5.432
0.841,0.048,0.066,-60.913,72.815,-4.883
0.850,0.088,0.097,-64.331,69.153,-5.432
0.859,0.131,0.090,-69.458,69.336,-6.836
0.853,0.138,0.099,-76.538,69.397,-9.644
0.816,0.161,0.022,-82.581,71.777,-13.123
0.771,0.093,0.003,-84.900,71.472,-18.372
0.751,0.014,0.014,-85.144,69.397,-22.949
0.759,0.002,0.070,-80.322,69.641,-25.085
0.789,-0.074,0.104,-70.007,72.937,-27.405
0.830,-0.020,0.039,-61.890,79.285,-27.405
0.878,0.019,-0.066,-54.138,86.853,-27.588
