aX,aY,aZ,gX,gY,gZ
0.269,-0.307,-0.259,-26.306,-16.296,187.744
0.317,-0.315,-0.328,-86.731,-3.174,180.054
0.321,0.646,-0.742,9.338,84.473,124.756
-0.017,1.026,-0.291,40.222,69.458,170.715
-0.070,1.769,-0.178,9.949,78.979,216.858
-0.204,1.923,-0.496,-13.184,105.042,187.012
-0.265,1.545,-0.849,-26.367,117.981,119.141
-0.240,0.963,-0.892,-32.776,104.187,66.956
-0.256,0.568,-0.776,-31.372,86.243,49.377
-0.272,0.531,-0.798,-29.358,81.116,60.486
-0.272,0.669,-0.916,-27.832,80.627,77.026
-0.245,0.777,-0.981,-23.010,73.303,83.374
-0.223,0.819,-0.991,-14.160,61.523,82.764
-0.193,0.877,-0.967,-6.165,49.744,83.923
-0.165,0.999,-0.876,0.732,37.720,88.440
-0.163,1.119,-0.770,6.714,29.419,90.210
-0.195,1.175,-0.720,12.878,27.588,85.693
-0.226,1.201,-0.717,14.343,29.602,77.759
-0.225,1.205,-0.756,8.362,32.471,68.237
-0.227,1.172,-0.811,2.563,34.973,56.091
-0.239,1.152,-0.824,5.310,34.058,45.898
-0.245,1.172,-0.816,7.874,31.738,38.574
-0.245,1.189,-0.839,10.925,30.579,30.579
-0.243,1.145,-0.873,13.184,28.687,20.386
-0.218,1.063,-0.901,14.038,23.865,10.620
-0.197,0.953,-0.916,14.404,15.869,3.540
-0.173,0.896,-0.906,12.634,5.615,2.197
-0.151,0.903,-0.860,9.827,-5.737,4.944
-0.139,0.901,-0.796,5.615,-17.273,5.981
-0.124,0.895,-0.748,1.526,-27.039,5.798
-0.107,0.902,-0.687,-2.686,-35.339,6.409
-0.087,0.912,-0.601,-5.432,-42.603,7.019
-0.070,0.916,-0.520,-5.859,-47.058,6.226
-0.048,0.910,-0.472,-5.432,-48.096,4.456
-0.024,0.909,-0.434,-7.751,-46.875,3.540
-0.001,0.923,-0.380,-11.169,-44.800,3.296
0.019,0.947,-0.316,-12.817,-41.748,2.563
0.033,0.949,-0.286,-13.489,-35.645,0.122
0.044,0.931,-0.298,-12.817,-28.381,-2.930
0.056,0.915,-0.308,-10.864,-21.851,-5.371
0.063,0.905,-0.304,-8.423,-17.151,-7.385
0.071,0.889,-0.324,-6.165,-12.146,-9.216
0.075,0.855,-0.346,-6.165,-7.629,-10.742
0.075,0.843,-0.352,-5.554,-4.944,-10.559
0.076,0.836,-0.344,-4.578,-2.869,-9.644
0.082,0.828,-0.344,-3.540,-0.610,-9.277
